Date,Time,Network,Content Type,Sent by,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),Video Views,Organic Video Views,Poll Votes
12/07/2023,7:00 PM,LinkedIn,Photo,Blessing Ubah,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://lnkd.in/dASbfHCz today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE
",63,63,9.52%,6,3,3,0,0,4.76%,3,3,0,0,0
11/07/2023,9:17 AM,LinkedIn,Photo,Blessing Ubah,"Together, we can make a difference and build a brighter tomorrow.  🤝 
#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE
",376,376,5.05%,19,11,11,0,0,2.13%,8,8,0,0,0
11/07/2023,2:49 PM,LinkedIn,Photo,Blessing Ubah,"Safeguard every aspect of your operations with our comprehensive insurance cover. Email insurancesolution@stanbicibtc.com today to secure your organisation's future.
#ITCANBE

",164,164,1.83%,3,1,1,0,0,1.22%,2,2,0,0,0
10/07/2023,8:39 AM,LinkedIn,Photo,Blessing Ubah,"Remember, self-love fuels your external glow. 💙 
#ITCANBE
#Selflove
#MondayMotivation
",506,506,4.55%,23,9,9,1,2,2.17%,11,11,0,0,0
10/07/2023,11:48 AM,LinkedIn,Photo,Blessing Ubah,"Discover the joy of investing in stocks and unlock the potential for happiness and financial growth. Send an email to StartWithZero@stanbicibtc.com to get started.​​
#ITCANBE
",236,236,1.69%,4,3,3,0,0,0.42%,1,1,0,0,0
10/07/2023,2:43 PM,LinkedIn,Photo,Blessing Ubah,"Embark on your retirement journey with us as your trusted companion guaranteeing a smile at every step along the way. Visit www.stanbicibtcpension.com and let’s walk you to your extraordinary future.
#ITCANBE
",241,241,2.07%,5,4,4,0,1,0%,0,0,0,0,0
10/07/2023,4:21 PM,LinkedIn,Photo,Blessing Ubah,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE",418,418,4.78%,20,9,9,0,1,2.39%,10,10,0,0,0
10/07/2023,6:04 PM,LinkedIn,Photo,Blessing Ubah,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE",343,343,2.04%,7,0,0,0,0,2.04%,7,7,0,0,0
09/07/2023,7:28 AM,LinkedIn,Photo,Blessing Ubah,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit https://lnkd.in/dRXcBs2 to start your journey towards financial success today by investing in our mutual fund.

#ITCANBE
",525,525,4.38%,23,10,10,0,1,2.29%,12,12,0,0,0
09/07/2023,11:16 AM,LinkedIn,Photo,Blessing Ubah,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://lnkd.in/dcFK-vwH

#ITCANBE
",337,337,2.08%,7,1,1,1,0,1.48%,5,5,0,0,0
