Date,Time,Network,Content Type,Sent by,Link,Post,Impressions,Organic Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves
13/07/2023,12:03 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cuopol-sKYb/,"Your money should not be a gamble. Before you invest, do your own personal research on the historical performance of the stocks and ensure you invest with a credible firm like Stanbic IBTC Stockbrokers.
Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
#Invest",41,41,40,40,12.20%,12.50%,5,4,4,1,0
12/07/2023,6:20 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CumwEdZveHI/,"Here are some mistakes you shouldn’t make during this season.
#ITCANBE","1,200","1,200","1,133","1,133",2.83%,3%,34,25,25,7,2
12/07/2023,7:00 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/Cum0msiMhhU/,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://bit.ly/StanbicIBTCHomeLoans today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE",902,902,716,716,3.77%,4.75%,34,29,29,2,3
12/07/2023,7:32 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cum4OZ-Ln5x/,"Cheers to the self-taught masters! 💪🏿 
Let us know your mastery in the comments.
#ITCANBE",529,529,481,481,5.48%,6.03%,29,22,22,7,0
11/07/2023,9:17 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CujNDAXsYm6/,"Together, we can make a difference and build a brighter tomorrow. 🤝 
#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE",405,405,375,375,5.43%,5.87%,22,12,12,9,1
11/07/2023,1:35 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cujqk7aMZ6d/,"Choose from our wide range of insurance options, including property, liability, employee benefits, and cyber liability coverage, tailored to meet your specific needs. Email insurancesolution@stanbicibtc.com today to get started.
#ITCANBE",413,413,383,383,4.84%,5.22%,20,9,9,11,0
11/07/2023,5:55 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CukIVGJMXzM/,"Tell us in the comments.
#ITCANBE",930,930,881,881,5.27%,5.56%,49,26,26,23,0
11/07/2023,7:14 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CukRXvVA2K_/,"Answer: China
#ITCANBE",491,491,429,429,5.91%,6.76%,29,13,13,16,0
10/07/2023,8:39 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cugj54TMY2C/,"Remember, self-love fuels your external glow. 💙 
#ITCANBE
#Selflove
#MondayMotivation",586,586,542,542,7%,7.56%,41,20,20,21,0
10/07/2023,11:48 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cug5iJxsBfC/,"Discover the joy of investing in stocks and unlock the potential for happiness and financial growth. Send an email to StartWithZero@stanbicibtc.com to get started.​​
#ITCANBE",419,419,384,384,6.68%,7.29%,28,19,19,9,0
10/07/2023,2:43 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuhNjz4MI8O/,"Embark on your retirement journey with us as your trusted companion guaranteeing a smile at every step along the way. Visit www.stanbicibtcpension.com and let’s walk you to your extraordinary future.
#ITCANBE",568,568,516,516,4.58%,5.04%,26,19,19,7,0
10/07/2023,4:21 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuhYxoaN6ig/,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE",519,519,483,483,4.05%,4.35%,21,16,16,5,0
10/07/2023,6:04 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuhklBSRKT5/,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE",460,460,429,429,5.87%,6.29%,27,15,15,11,1
09/07/2023,7:28 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cud2-4yMus5/,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit www.stanbicibtcassetmanagement.com to start your journey towards financial success today by investing in our mutual fund.

#ITCANBE",855,855,795,795,3.51%,3.77%,30,17,17,11,2
09/07/2023,11:16 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CueRE3HsDb1/,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://bit.ly/StanbicIBTC_TwitterSpaces

#ITCANBE",755,755,689,689,5.03%,5.52%,38,23,23,13,2
09/07/2023,4:00 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CuexlDVstxW/,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE","1,098","1,098","1,053","1,053",3.37%,3.51%,37,29,29,8,0
09/07/2023,5:00 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cue4cnbsP1W/,"With the control of your finances at your fingertips, you can enjoy easy banking. 
#ITCANBE",618,618,589,589,3.56%,3.74%,22,19,19,3,0
09/07/2023,7:53 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CufMP_UMOvq/,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE",627,627,455,455,4.15%,5.71%,26,18,18,8,0
08/07/2023,10:02 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Cubj0E3MsGi/,"Make secure payments with ease using NQR. Scan the QR code to initiate your payment.
#ITCANBE",536,536,506,506,4.48%,4.74%,24,11,11,13,0
