Date,Time,Network,Content Type,Sent by,Post,Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,Follows from Post,Unfollows from Post,Media Views
13/07/2023,10:57 AM,Twitter,Photo,Sophia Amuka,"Your money should not be a gamble. Before you invest, do your own personal research on the historical performance of the stocks and ensure you invest with a credible firm like Stanbic IBTC Stockbrokers.
Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
#Invest https://t.co/lwNxLg911o",445,"345,718",3.60%,16,4,2,1,0,0,9,9,1,0,7,1,0,0,0,1
12/07/2023,6:20 PM,Twitter,Photo,Blessing Ubah,"Here are some mistakes you shouldn’t make during this season.
#ITCANBE https://t.co/qxv91LCE03","1,499","349,169",3.40%,51,13,3,5,0,0,30,30,24,0,5,1,0,0,0,24
12/07/2023,7:00 PM,Twitter,Photo,Blessing Ubah,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://t.co/Dpi7LF0TQK today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE https://t.co/qJwLGZsDEg",850,"347,594",4.24%,36,4,1,3,0.82%,7,21,28,11,0,10,0,0,0,0,11
12/07/2023,8:03 PM,Twitter,Text,Blessing Ubah,"What skill (s) do you have, that no one ever taught you? 
Share in the comments!
#ITCANBE","2,961","347,102",1.76%,52,11,20,3,0,0,18,18,0,1,12,5,0,0,0,0
11/07/2023,8:00 AM,Twitter,Photo,Sophia Amuka,"Together, we can make a difference and build a brighter tomorrow 🤝 

#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE https://t.co/AZRGHiqYSK","1,142","345,746",1.93%,22,9,4,1,0,0,8,8,4,1,2,1,0,0,0,4
11/07/2023,11:00 AM,Twitter,Photo,Sophia Amuka,"Tell us in the comments.
#ITCANBE https://t.co/v9v6ZCSVFl","4,598","345,734",1.52%,70,12,18,1,0.02%,1,38,39,15,1,16,6,0,0,0,15
11/07/2023,12:50 PM,Twitter,Photo,Sophia Amuka,"Safeguard every aspect of your operations with our comprehensive insurance cover. Email insurancesolution@stanbicibtc.com today to secure your organisation's future.
#ITCANBE https://t.co/k9IjHzgwsn","1,184","345,653",1.52%,18,7,3,1,0,0,7,7,3,0,1,3,0,0,0,3
10/07/2023,8:00 AM,Twitter,Photo,Sophia Amuka,"Remember, self-love fuels your external glow 💙 

#ITCANBE
#Selflove
#MondayMotivation https://t.co/HITHdunsnK","1,015","345,696",1.77%,18,8,0,1,0,0,9,9,3,0,5,1,0,0,0,3
10/07/2023,11:00 AM,Twitter,Photo,Sophia Amuka,"Invest in stocks and witness the satisfaction of seeing your investments flourish. Send an email to StartWithZero@stanbicibtc.com today .
#ITCANBE https://t.co/ZCIFye5WgV","1,381","349,717",1.59%,22,11,3,1,0,0,7,7,4,0,1,2,0,0,0,4
10/07/2023,2:14 PM,Twitter,Photo,Sophia Amuka,"Let us work together to help you reach the remarkable future you desire. Visit https://t.co/EOxreJGDr9 to begin.
#ITCANBE https://t.co/LG4CgCQzKJ","1,111","347,015",2.16%,24,5,4,2,0.18%,2,11,13,6,0,0,5,0,0,0,6
10/07/2023,5:09 PM,Twitter,Photo,Sophia Amuka,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE https://t.co/LKMmrX6FBt",930,"345,627",1.61%,15,7,1,0,0,0,7,7,1,0,4,2,0,0,0,1
10/07/2023,6:05 PM,Twitter,Photo,Blessing Ubah,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE https://t.co/A5cNyBW2DG","1,235","345,628",1.46%,18,7,6,0,0,0,5,5,2,0,2,1,0,0,0,2
09/07/2023,9:00 AM,Twitter,Photo,Sophia Amuka,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE https://t.co/cnM5h4QAnV","1,120","345,803",2.59%,29,6,1,2,0,0,20,20,13,0,3,4,0,0,0,13
09/07/2023,12:00 PM,Twitter,Photo,Sophia Amuka,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://t.co/3LOVijaPUd

#ITCANBE https://t.co/E5dHxIynnv","1,292","345,782",3.25%,42,8,5,1,0.15%,2,26,28,15,0,4,7,0,0,0,15
09/07/2023,3:00 PM,Twitter,Photo,Sophia Amuka,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit https://t.co/oMGjCG03ED to start your journey towards financial success today by investing in our Mutual Funds.

#ITCANBE https://t.co/FffkYdW6IQ",916,"345,772",2.40%,22,2,3,1,0.66%,6,10,16,8,0,2,0,0,0,0,8
09/07/2023,4:00 PM,Twitter,Photo,Kemi Amoo,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE https://t.co/hbbpisxV9C","1,244","349,238",4.90%,61,3,2,2,0,0,53,53,28,0,16,9,1,1,0,28
09/07/2023,6:00 PM,Twitter,Photo,Sophia Amuka,"With the control of your finances at your finger tips, you can enjoy easy banking. 
#ITCANBE https://t.co/nwqvWcO68H","1,345","347,216",1.93%,26,8,3,3,0,0,12,12,9,1,2,0,0,0,0,9
08/07/2023,9:00 AM,Twitter,Photo,Sophia Amuka,"Make secure payments with ease using NQR. Simply scan the QR code to initiate your payment.
#ITCANBE https://t.co/el08dKV8P0","1,377","345,751",2.32%,32,14,4,1,0,0,13,13,8,0,2,3,0,0,2,8
